N,P,K,temperature,humidity,ph,rainfall,label,month,soil_type
99.0,56.0,17.0,24.11,73.13,6.23,71.08,maize,6,alluvial
6.0,84.0,19.0,16.92,22.81,5.75,172.58,maize,6,alluvial
99.0,39.0,18.0,19.2,68.31,6.11,87.85,maize,6,alluvial
90.0,44.0,38.0,23.8351,83.8839,7.4731,241.2014,rice,7,clay
39.7461,70.4404,83.4404,19.7587,16.6821,7.8836,81.8514,chickpea,10,sandy
6.0,69.0,19.0,26.89,41.7,4.75,94.47,pigeonpeas,6,alluvial
20.0,108.0,30.0,28.08,78.79,8.68,79.49,soybean,6,black
44.0,74.0,85.0,20.1865,19.6372,7.1507,78.2604,chickpea,10,sandy
110.0,92.0,152.0,31.94,87.3,6.77,161.99,barley,10,alluvial
82.0,22.0,45.0,26.22,85.35,6.51,54.6,watermelon,2,sandy
35.0,142.0,203.0,21.17,90.24,5.9,123.65,apple,1,loamy
26.0,51.8878,23.2245,29.8505,49.9435,5.2527,53.1864,mothbeans,6,sandy
56.0,65.0,45.0,38.2017,93.9738,6.7513,218.0909,papaya,3,alluvial
17.0,18.0,43.0,24.49,90.84,5.84,103.2,pomegranate,2,sandy
57.9569,14.2686,113.9679,36.7775,41.7591,5.1413,187.3943,soybean,6,black
25.0,63.0,20.0,15.79,21.15,5.5,95.17,kidneybeans,10,loamy
115.0,12.0,52.0,27.5149,94.9622,6.6856,21.018,muskmelon,2,sandy
108.0,38.0,24.0,23.41,76.44,7.44,78.82,cotton,5,black
98.0,53.0,38.0,20.2671,81.639,5.0145,270.4417,rice,7,clay
64.0,35.0,23.0,23.02,61.89,5.68,63.04,maize,6,alluvial
116.0025,90.365,68.5919,33.198,35.1915,4.9825,121.0809,wheat,10,alluvial
48.0,57.0,54.0,29.0233,90.204,6.6177,126.807,papaya,3,alluvial
38.0,77.0,22.0,28.2348,69.316,6.3133,35.3683,lentil,10,loamy
23.7053,69.6589,20.0232,18.1309,22.3863,5.6598,69.3477,kidneybeans,10,loamy
42.0,53.0,48.0,23.1105,94.32,6.7598,231.5195,papaya,3,alluvial
34.0,59.0,18.0,23.38,21.99,5.74,87.67,kidneybeans,10,loamy
82.0,18.0,48.0,29.0959,94.1675,6.1591,26.7058,muskmelon,2,sandy
31.0,37.0,21.0,27.2392,86.4042,6.7134,37.3124,mungbean,3,sandy
53.9272,65.6181,76.6181,19.3816,16.5122,8.5764,77.488,chickpea,10,sandy
7.0,144.0,197.0,23.8494,94.3481,6.1332,114.0512,apple,1,loamy
65.0,62.0,51.0,31.5324,90.8739,6.5116,207.0735,papaya,3,alluvial
